region_nom_bdd,prefecture_nom_bdd,total_etablissements,nb_toilettes,nb_batiments,nb_bibliotheques,ratio_toilettes_par_etab,ratio_batiments_par_etab,a_bibliotheque,lat,lon
Centrale,Blitta,418,366,790,0.0,0.88,1.89,0,8.184670881519912,0.975012418054654
Centrale,Mô,104,79,183,0.0,0.76,1.76,0,8.734343031616026,0.5654030619980357
Centrale,Sotouboua,344,256,652,0.0,0.74,1.9,0,8.587366794226547,1.0436978818034763
Centrale,Tchamba,324,243,709,0.0,0.75,2.19,0,8.81960064883284,1.4707291490623968
Centrale,Tchaoudjo,510,401,998,0.0,0.79,1.96,0,8.985299679531202,1.16422928273001
Kara,Assoli,130,100,243,0.0,0.77,1.87,0,9.351748555444013,1.2396402708164547
Kara,Bassar,339,205,564,0.0,0.6,1.66,0,9.337014329252156,0.7355107326614688
Kara,Binah,208,142,346,0.0,0.68,1.66,0,9.744035474464633,1.3146702259829062
Kara,Dankpen,329,188,545,0.0,0.57,1.66,0,9.70064037158333,0.5752215746764637
Kara,Doufelgou,201,140,360,0.0,0.7,1.79,0,9.818026943458424,1.0891838818319288
Kara,Kozah,544,406,1056,2.0,0.75,1.94,1,9.558650534130736,1.1854100157628498
Kara,Kéran,201,146,374,1.0,0.73,1.86,1,10.008305548288815,0.9575967695031807
Maritime,Agoè-Nyivé,1358,801,1782,0.0,0.59,1.31,0,6.254679045689523,1.1843563747123818
Maritime,Avé,312,177,580,1.0,0.57,1.86,1,6.413872247371694,0.9570810151066974
Maritime,Bas-Mono,252,216,505,0.0,0.86,2.0,0,6.460301217668953,1.6337713878612723
Maritime,Golfe,2403,1658,3050,2.0,0.69,1.27,1,6.174584768048618,1.2317177604916156
Maritime,Lacs,447,310,769,0.0,0.69,1.72,0,6.246882630677428,1.541030880534274
Maritime,Vo,476,350,1006,0.0,0.74,2.11,0,6.37677496984557,1.5092975692994228
Maritime,Yoto,372,212,845,0.0,0.57,2.27,0,6.645887922467116,1.4725038932435002
Maritime,Zio,1034,527,1886,0.0,0.51,1.82,0,6.429797406438266,1.1906610852001993
Plateaux,Agou,218,122,378,0.0,0.56,1.73,0,6.78605447688328,0.7720625977612479
Plateaux,Akébou,201,84,453,0.0,0.42,2.25,0,7.7661796837142445,0.7602877267097626
Plateaux,Amou,270,127,514,0.0,0.47,1.9,0,7.476042287247054,0.9974956116088833
Plateaux,Anié,270,84,580,0.0,0.31,2.15,0,7.743770630743649,1.3287681781524177
Plateaux,Danyi,158,64,263,0.0,0.41,1.66,0,7.256735496737573,0.7007015068877651
Plateaux,Est-Mono,287,217,614,0.0,0.76,2.14,0,8.068646126410675,1.387410703835221
Plateaux,Haho,576,295,1402,0.0,0.51,2.43,0,7.006136239895024,1.2040340762863573
Plateaux,Kloto,311,186,560,0.0,0.6,1.8,0,6.928318549763202,0.627336256734986
Plateaux,Kpélé,198,105,452,0.0,0.53,2.28,0,7.135407096101769,0.802235566547557
Plateaux,Moyen-Mono,182,99,414,0.0,0.54,2.27,0,7.198802199080998,1.5910358091971415
Plateaux,Ogou,373,240,836,0.0,0.64,2.24,0,7.459418962741987,1.2178198761986614
Plateaux,Wawa,295,119,497,0.0,0.4,1.68,0,7.534562897764734,0.6940475555862229
Savanes,Cinkassé,165,169,372,0.0,1.02,2.25,0,11.07016834256933,0.05455000903712049
Savanes,Kpendjal,87,76,155,0.0,0.87,1.78,0,10.850476809431546,0.6982578324903511
Savanes,Kpendjal-Ouest,145,156,298,0.0,1.08,2.06,0,10.853373838962618,0.43924807050794057
Savanes,Oti,223,194,482,1.0,0.87,2.16,1,10.473963452299312,0.40798295861898876
Savanes,Oti-Sud,192,186,398,0.0,0.97,2.07,0,10.266037456220843,0.6537617565243647
Savanes,Tandjoaré,343,259,625,0.0,0.76,1.82,0,10.659374822763063,0.1423121406121205
Savanes,Tône,654,523,1519,4.0,0.8,2.32,1,10.88759806575451,0.19964189004383617
